"EMAIL","ID","ISFRAUD","NAME","PHONENUMBER","SSN"
"mitchell663@gmail.com","4850963904426931","true","Christian Mitchell","656-443-7445","663-97-2678"
"shields364@yahoo.com","4781215070740221","true","Levi Shields","547-387-8171","364-64-7495"
"rowland391@gmail.com","4315077800579344","true","Thomas Rowland","229-216-656","391-43-2522"
"fitzgerald559@gmail.com","4958945711177584","true","Alexa Fitzgerald","896-212-2552","559-84-5052"
"rivera316@mail.com","4384361481540205","true","Makayla Rivera","814-505-7753","316-30-7911"
"samuel.wolfe511@gmail.com","4644489622388725","false","Samuel Wolfe","691-989-426","511-98-5082"
"mays323@yahoo.com","4804671416824140","false","Lucy Mays","568-647-024","323-59-0915"
"gabriella.castillo830@mail.com","4808885194027587","false","Gabriella Castillo","432-779-9987","830-20-9523"
"justinbenson058@yahoo.com","4084601742671304","false","Justin Benson","099-421-8850","058-86-8020"
"lydia.hooper722@yahoo.com","4464610249100477","false","Lydia Hooper","720-894-4602","722-70-8832"
"laylaboyd142@mail.com","4987017030578366","false","Layla Boyd","640-464-1130","142-61-7075"
"claire.calderon657@yahoo.com","4777410950429385","false","Claire Calderon","743-565-490","657-60-2351"
"sweeney083@yahoo.com","4284413109446470","false","Kimberly Sweeney","712-111-776","083-25-8539"
"lucasbrooks856@yahoo.com","4727592499072734","false","Lucas Brooks","947-001-077","856-27-0642"
"piper.robertson390@yahoo.com","4261078695462475","false","Piper Robertson","070-614-1517","390-77-9854"
"londonhaley233@mail.com","4280870576728140","false","London Haley","541-023-9028","233-52-6865"
"mccarthy767@yahoo.com","4267348961779298","false","Bella Mccarthy","523-650-063","767-97-6449"
"cooperburke760@gmail.com","4938762059880074","false","Cooper Burke","401-025-6979","760-77-8319"
"lukecross161@yahoo.com","4747357396854394","false","Luke Cross","725-613-157","161-43-6573"
"sophia.patrick339@mail.com","4936849497276700","false","Sophia Patrick","122-030-298","339-95-3389"
"genesis.riley753@gmail.com","4635121701243957","false","Genesis Riley","402-817-870","753-72-1619"
"justinhopkins311@yahoo.com","4278749350143540","false","Justin Hopkins","620-396-176","311-75-5391"
"hannah.french408@mail.com","4634886637816354","false","Hannah French","192-602-2547","408-02-5388"
"beck870@gmail.com","4005002688194516","false","Ashley Beck","009-442-907","870-67-7963"
"hailey.acevedo226@mail.com","4988432103288737","false","Hailey Acevedo","422-143-8712","226-86-2967"
"humphrey193@gmail.com","4163514814098674","false","Jayden Humphrey","501-854-899","193-05-5868"
"alexisblanchard437@mail.com","4201588508444695","false","Alexis Blanchard","109-192-1330","437-83-9098"
"alston571@yahoo.com","4205178767421877","false","Leah Alston","483-386-9567","571-13-2629"
"jamescollins042@yahoo.com","4127977337141658","false","James Collins","768-343-944","042-11-9136"
